cui	drugbank_id
C4256140	DB00205
C4256141	DB00205
C0035179	DB00206
C4256136	DB00206
C4256137	DB00206
C0052796	DB00207
C0040207	DB00208
C0772089	DB00209
C0165631	DB00210
C0593946	DB00210
C1529537	DB00210
C0026078	DB00211
C0209499	DB00212
C0081876	DB00213
C0076840	DB00214
C0243946	DB00214
C4256135	DB00214
C0008845	DB00215
C4082527	DB00215
C4256134	DB00215
C0759933	DB00216
C0005324	DB00217
C0536495	DB00218
C0030082	DB00219
C0525005	DB00220
C0022176	DB00221
C0061323	DB00222
C0304612	DB00223
C0376637	DB00224
C2697674	DB00224
C0082646	DB00225
C4256133	DB00225
C0061938	DB00226
C0024027	DB00227
C0728780	DB00227
C4256132	DB00227
C0014277	DB00228
C0594647	DB00228
C0701979	DB00228
C4256131	DB00228
C0007556	DB00229
C0657912	DB00230
C1570232	DB00230
C0039468	DB00231
C0723045	DB00231
C0025696	DB00232
C0728776	DB00232
C0030125	DB00233
C4256130	DB00233
C0168388	DB00234
C0128513	DB00235
C0031965	DB00236
C1519092	DB00236
C0006464	DB00237
C0719051	DB00237
C4082289	DB00237
C0132326	DB00238
C0728726	DB00238
C0069765	DB00239
C0360534	DB00240
C0054234	DB00241
C0092801	DB00242
C0073633	DB00243
C0127615	DB00244
C0253787	DB00244
C0678169	DB00244
C0678171	DB00244
C0678172	DB00244
C0699621	DB00244
C0699622	DB00244
C0699623	DB00244
C1563972	DB00244
C1873792	DB00244
C4083158	DB00244
C4256129	DB00244
C0005098	DB00245
C0380393	DB00246
C0025842	DB00247
C0616472	DB00247
C0616474	DB00247
C0107994	DB00248
C0020811	DB00249
C0010980	DB00250
C0076115	DB00251
C0723648	DB00251
C0031507	DB00252
C0065865	DB00253
C0013090	DB00254
C2699808	DB00254
C0012203	DB00255
C1511924	DB00255
C0024200	DB00256
C0009074	DB00257
C0699670	DB00257
C0699671	DB00257
C0717537	DB00258
C0038702	DB00259
C4256125	DB00259
C4256126	DB00259
C0010590	DB00260
C0701966	DB00260
C4255549	DB00260
C4256123	DB00260
C4256124	DB00260
C0051809	DB00261
C0007257	DB00262
C0720676	DB00262
C1145713	DB00262
C1516302	DB00262
C0038745	DB00263
C0025859	DB00264
C0056519	DB00265
C0699631	DB00265
C0005640	DB00266
C0007549	DB00267
C0244821	DB00268
C0008275	DB00269
C0071304	DB00270
C0813618	DB00270
C0002496	DB00271
C0012004	DB00271
C0022034	DB00271
C0147942	DB00271
C0733899	DB00271
C4082380	DB00271
C4082381	DB00271
C0005321	DB00272
C0076829	DB00273
C0127173	DB00273
C0723778	DB00273
C4256122	DB00273
C0007550	DB00274
C1098320	DB00275
C0002699	DB00276
C0039771	DB00277
C0304441	DB00277
C0048470	DB00278
C0041014	DB00279
C0592174	DB00279
C4256121	DB00279
C0012702	DB00280
C0023660	DB00281
C0043603	DB00282
C3714572	DB00282
C4256120	DB00282
C0008929	DB00283
C0050393	DB00284
C0078569	DB00285
C4256119	DB00285
C0014938	DB00286
C0937916	DB00287
C0939506	DB00287
C1815442	DB00287
C0051556	DB00288
C0076823	DB00289
C0005736	DB00290
C0005740	DB00290
C1511217	DB00290
C1589326	DB00290
C0008163	DB00291
C0699996	DB00291
C1516481	DB00291
C0015131	DB00292
C0677667	DB00293
C0878095	DB00293
C0047683	DB00294
C0026549	DB00295
C0073571	DB00296
C0006400	DB00297
C0057143	DB00298
C0164815	DB00299
C0673857	DB00300
C0963398	DB00300
C0016267	DB00301
C0543424	DB00301
C0040613	DB00302
C0591311	DB00302
C1120106	DB00303
C0057558	DB00304
C1569281	DB00304
C0002475	DB00305
C0702049	DB00305
C0702050	DB00305
C0702051	DB00305
C0301407	DB00306
C4256115	DB00306
C0765273	DB00307
C4256113	DB00307
C4256114	DB00307
C0082966	DB00308
C0042682	DB00309
C0008294	DB00310
C0015052	DB00311
C0030883	DB00312
C0702208	DB00312
C4256112	DB00312
C0042291	DB00313
C0080356	DB00313
C0262964	DB00314
C0289361	DB00315
C0528166	DB00315
C0594405	DB00315
C0000970	DB00316
C1258986	DB00316
C0879396	DB00317
C0919281	DB00317
C1122962	DB00317
C0009214	DB00318
C0770426	DB00318
C3848586	DB00318
C0031955	DB00319
C1882383	DB00319
C0012291	DB00320
C0002600	DB00321
C0016343	DB00322
C0246330	DB00323
C0016351	DB00324
C0720477	DB00324
C1883706	DB00324
C4256111	DB00324
C0028193	DB00325
C0108111	DB00326
C3178645	DB00326
C0012306	DB00327
C1512536	DB00327
C0021246	DB00328
C0700798	DB00328
C4256110	DB00328
C0014964	DB00330
C0025598	DB00331
C4256108	DB00331
C4256109	DB00331
C0700580	DB00332
C3661518	DB00332
C0025605	DB00333
C0171023	DB00334
C0527258	DB00334
C0004147	DB00335
C0028157	DB00336
C0740138	DB00336
C0740139	DB00336
C1099414	DB00337
C0028978	DB00338
C0034239	DB00339
C4256107	DB00339
C0066139	DB00340
C0055147	DB00341
C0085173	DB00342
C0012373	DB00343
C0033743	DB00344
C4256106	DB00344
C0030123	DB00345
C0086761	DB00345
C0717403	DB00345
C0051150	DB00346
C0041038	DB00347
C0702228	DB00347
C0173083	DB00348
C1120964	DB00348
C0055891	DB00349
C0026196	DB00350
C0699464	DB00350
C0730881	DB00350
C1709038	DB00350
C4256102	DB00350
C4256103	DB00350
C4256104	DB00350
C4256105	DB00350
C0065879	DB00351
C0039902	DB00352
C0025760	DB00353
C0733811	DB00353
C0164386	DB00354
C0004521	DB00355
C0699281	DB00355
C4256096	DB00355
C0008296	DB00356
C0002555	DB00357
C0025153	DB00358
C0038675	DB00359
C0048897	DB00360
C4281712	DB00360
C0078257	DB00361
C1142738	DB00362
C1697348	DB00362
C0009079	DB00363
C0038633	DB00364
C0287721	DB00365
C0013092	DB00366
C0023566	DB00367
C0591811	DB00367
C0699170	DB00367
C0699698	DB00367
C0876128	DB00367
C1450005	DB00367
C4082601	DB00367
C0028351	DB00368
C0205860	DB00368
C0286079	DB00369
C2699210	DB00369
C0049506	DB00370
