cui	hgnc_id	symbol	entrez_id
C0879389	HGNC:7127	MLH1	4292
C0879390	HGNC:9121	PMS1	5378
C0879391	HGNC:9122	PMS2	5395
C0879392	HGNC:7326	MSH3	4437
C0879393	HGNC:7329	MSH6	2956
C0879468	HGNC:2433	CSF1R	1436
C0879590	HGNC:6001	IL2	3558
C0919425	HGNC:2595	CYP1A1	1543
C0919426	HGNC:2631	CYP2E1	1571
C0919427	HGNC:7436	MTHFR	4524
C0919428	HGNC:2874	NQO1	1728
C0919429	HGNC:11285	SRD5A2	6716
C0919430	HGNC:12679	VDR	7421
C0919432	HGNC:6769	SMAD3	4088
C0919441	HGNC:7885	NOV	4856
C0919442	HGNC:7650	NBL1	4681
C0919445	HGNC:8949	SERPINB5	5268
C0919451	HGNC:4638	GSTP1	2950
C0919455	HGNC:10446	RRAD	6236
C0919457	HGNC:3701	FHIT	2272
C0919458	HGNC:51	ABCC1	4363
C0919466	HGNC:3682	FGF4	2249
C0919477	HGNC:6524	LCK	3932
C0919478	HGNC:3697	FGR	2268
C0919479	HGNC:12841	YES1	7525
C0919481	HGNC:6776	MAF	4094
C0919487	HGNC:8031	NTRK1	4914
C0919490	HGNC:11241	SPI1	6688
C0919496	HGNC:11742	TFAP2A	7020
C0919506	HGNC:3676	FGF2	2247
C0919507	HGNC:3685	FGF7	2252
C0919508	HGNC:3683	FGF5	2250
C0919509	HGNC:3688	FGFR1	2260
C0919516	HGNC:6913	MAX	4149
C0919521	HGNC:9690	PTTG1	9232
C0919524	HGNC:795	ATM	472
C0919528	HGNC:7132	KMT2A	4297
C0919534	HGNC:4632	GSTM1	2944
C0919538	HGNC:11773	TGFBR2	7048
C0919550	HGNC:8568	FURIN	5045
C0920268	HGNC:11853	TM4SF1	4071
C0920270	HGNC:5056	TLX1	3195
C0920274	HGNC:11530	TACSTD2	4070
C0963396	HGNC:19049	AOX3P	107126360
C0964742	HGNC:15981	ZNF296	162979
C1134446	HGNC:3401	EPHX1	2052
C1135159	HGNC:2228	COMT	1312
C1176140	HGNC:2637	CYP3A4	1576
C1321914	HGNC:9108	PMAIP1	5366
C1325331	HGNC:6021	IL6ST	3572
C1327771	HGNC:30077	REEP5	7905
C1328053	HGNC:7876	NOS3	4846
C1332001	HGNC:47	ABCB6	10058
C1332002	HGNC:74	ABCG2	9429
C1332005	HGNC:24011	ABI2	10152
C1332008	HGNC:17195	ACRBP	84519
C1332009	HGNC:738	ASCL1	429
C1332010	HGNC:145	ACTG2	72
C1332011	HGNC:172	ACVR1B	91
C1332012	HGNC:171	ACVR1	90
C1332013	HGNC:174	ACVR2B	93
C1332015	HGNC:189	ADAM11	4185
C1332017	HGNC:193	ADAM15	8751
C1332018	HGNC:217	ADAMTS1	9510
C1332020	HGNC:13202	ADAMTS9	56999
C1332025	HGNC:240	ADCY9	115
C1332026	HGNC:277	ADRA1A	148
C1332027	HGNC:278	ADRA1B	147
C1332028	HGNC:281	ADRA2A	150
C1332029	HGNC:282	ADRA2B	151
C1332030	HGNC:290	GRK3	157
C1332034	HGNC:328	AGR2	10551
C1332036	HGNC:338	AGTR2	186
C1332065	HGNC:357	AIM2	9447
C1332070	HGNC:370	AKAP12	9590
C1332071	HGNC:371	AKAP13	11214
C1332072	HGNC:379	AKAP9	10142
C1332073	HGNC:389	AKR7A2	8574
C1332074	HGNC:393	AKT3	10000
C1332075	HGNC:400	ALCAM	214
C1332076	HGNC:15472	ALDH1A2	8854
C1332077	HGNC:30727	GTF2A1L	11036
C1332080	HGNC:427	ALK	238
C1332082	HGNC:433	ALOX15	246
C1332083	HGNC:463	AMFR	267
C1332084	HGNC:465	AMHR2	269
C1332086	HGNC:471	AMPH	273
C1332088	HGNC:484	ANGPT1	284
C1332089	HGNC:485	ANGPT2	285
C1332090	HGNC:16677	ANP32B	10541
C1332091	HGNC:16675	ANP32C	23520
C1332093	HGNC:16676	ANP32D	23519
C1332095	HGNC:543	ANXA5	308
C1332096	HGNC:546	ANXA8	653145
C1332098	HGNC:576	APAF1	317
C1332100	HGNC:24036	APC2	10297
C1332101	HGNC:586	APEH	327
C1332102	HGNC:587	APEX1	328
C1332104	HGNC:622	APPBP2	10513
C1332105	HGNC:20418	PDS5B	23047
C1332109	HGNC:651	AREG	374
