doid_id	doid_name	entrez_gene_id	gene_symbol	license	sources
DOID:2531	Hematologic cancer	959	CD40LG	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	960	CD44	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	965	CD58	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	968	CD68	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	972	CD74	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	973	CD79A	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	974	CD79B	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	978	CDA	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	1017	CDK2	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	1019	CDK4	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	1021	CDK6	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	1026	CDKN1A	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	1027	CDKN1B	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	1029	CDKN2A	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	1030	CDKN2B		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	1043	CD52	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	1046	CDX4	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	1050	CEBPA	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	1052	CEBPD	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	1053	CEBPE	CC BY 4.0	DISEASES|GWAS Catalog
DOID:2531	Hematologic cancer	1215	CMA1	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	1236	CCR7	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	1269	CNR2	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	1378	CR1	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	1380	CR2	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	1381	CRABP1	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	1385	CREB1	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	1387	CREBBP		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	1399	CRKL	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	1401	CRP	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	1407	CRY1	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	1408	CRY2	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	1432	MAPK14	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	1435	CSF1	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	1436	CSF1R		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	1437	CSF2		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	1440	CSF3		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	1471	CST3	ODbL 1.0	DisGeNET
